model,dataset,non-linearity,normalize,lr,channels,epoch,drop_edge_rate,drop_feat_rate,accuracy
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8430)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8270)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8270)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8430)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8410)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8370)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8410)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8390)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8400)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8470)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8280)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8370)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8360)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8350)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8290)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8330)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8300)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8310)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8380)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8310)
