model,dataset,non-linearity,normalize,lr,channels,epoch,drop_edge_rate,drop_feat_rate,accuracy
GRACE,Cora,True,True,0.001,512,50,0.4,0.4,tensor(0.8360)
GRACE,Cora,True,True,0.001,512,50,0.4,0.4,tensor(0.8470)
GRACE,Cora,True,True,0.001,512,50,0.4,0.4,tensor(0.8340)
GRACE,Cora,True,True,0.001,512,50,0.4,0.4,tensor(0.8350)
GRACE,Cora,True,True,0.001,512,50,0.4,0.4,tensor(0.8390)
GRACE,Cora,True,True,0.001,512,50,0.4,0.4,tensor(0.8390)
GRACE,Cora,True,True,0.001,512,50,0.4,0.4,tensor(0.8330)
GRACE,Cora,True,True,0.001,512,50,0.4,0.4,tensor(0.8360)
GRACE,Cora,True,True,0.001,512,50,0.4,0.4,tensor(0.8360)
GRACE,Cora,True,True,0.001,512,50,0.4,0.4,tensor(0.8360)
